customer_state,total_payment_value,payment_count,principal_payment_type,total_freight,total_weight_g,total_volume_cm3,seller_state_count,category_count,principal_category_by_price,principal_seller_state_by_price,distancia_km
SP,20.75,1,credit_card,7.87,180,2304,1,1,informatica_acessorios,SP,46.927972
SP,102.56,1,credit_card,6.56,396,2772,1,1,relogios_presentes,SP,294.345425
SP,50.68,1,credit_card,12.69,500,3000,1,1,cama_mesa_banho,SP,370.267087
SP,103.55,1,credit_card,13.65,1650,3080,1,1,cama_mesa_banho,SP,219.374987
RJ,46,1,credit_card,14.1,200,2378,1,1,informatica_acessorios,MG,352.723884
SP,74.16,1,credit_card,14.17,350,2464,1,1,relogios_presentes,RJ,427.561111
RJ,183.65,1,credit_card,54.65,6550,8000,1,1,informatica_acessorios,MG,320.709319
SP,28.46,1,credit_card,10.96,255,5700,1,1,informatica_acessorios,SP,81.329024
SP,53.3,1,boleto,15.1,450,5175,1,1,esporte_lazer,SP,449.700806
SP,103.5,1,credit_card,23.7,1800,59570,1,1,cama_mesa_banho,SP,55.488686
SP,211.89,1,boleto,12.89,4050,2431,1,1,beleza_saude,SP,295.44607
SP,124.7,1,credit_card,19.7,1000,7632,1,1,relogios_presentes,RJ,338.15044
SP,216.93,1,credit_card,17.03,2600,11808,1,1,cama_mesa_banho,SP,170.474054
RJ,241.74,1,credit_card,21.94,854,7140,1,1,beleza_saude,RJ,18.505722
RJ,136.37,1,credit_card,17.37,1650,7200,1,1,esporte_lazer,SP,381.684972
SP,30.96,1,boleto,10.96,100,2560,1,1,cama_mesa_banho,SP,34.872938
RJ,198.12,1,credit_card,19.13,292,1632,1,1,relogios_presentes,SP,528.929242
SP,84.43,1,credit_card,13.52,1200,45630,1,1,moveis_decoracao,SP,288.930227
SP,124.76,1,boleto,14.86,1225,19950,1,1,cama_mesa_banho,SP,362.814975
SP,69.73,1,credit_card,9.74,525,9280,1,1,esporte_lazer,SP,81.415901
SP,76.85,1,credit_card,11.95,250,864,1,1,moveis_decoracao,SP,303.451898
SP,100.57,1,boleto,20.6,8809,45968,1,1,esporte_lazer,SP,95.889643
SP,88.31,1,credit_card,8.32,250,3960,1,1,beleza_saude,SP,19.667371
SP,42.27,1,credit_card,7.78,600,8008,1,1,beleza_saude,SP,40.4524
SP,24.38,1,boleto,7.39,250,1235,1,1,informatica_acessorios,SP,15.810762
SP,56.78,1,credit_card,7.78,250,352,1,1,relogios_presentes,SP,45.33402
SP,131.33,1,credit_card,12.33,1500,30752,1,1,esporte_lazer,SP,362.065265
RJ,148.69,1,boleto,18.79,100,880,1,1,beleza_saude,SP,696.369313
SP,322.17,1,credit_card,23.17,2850,8349,1,1,moveis_decoracao,PR,359.81588
SP,275.19,1,credit_card,15.29,3200,10560,1,1,cama_mesa_banho,SP,121.497359
SP,40.86,1,credit_card,10.96,400,9000,1,1,moveis_decoracao,SP,126.123084
SP,61.75,1,credit_card,11.85,450,3750,1,1,moveis_decoracao,SP,111.80802
RJ,159.07,1,credit_card,19.08,250,7500,1,1,beleza_saude,SP,703.796853
SP,63.86,1,credit_card,11.86,300,5280,1,1,informatica_acessorios,SP,153.069327
SP,174.42,1,credit_card,34.52,6550,13440,1,1,utilidades_domesticas,MG,430.931583
SP,165.57,1,credit_card,12.57,2400,23625,1,1,cama_mesa_banho,SP,97.329675
SP,69.32,1,credit_card,9.42,600,9295,1,1,moveis_decoracao,SP,5.892495
SP,51.79,1,boleto,12.79,900,12500,1,1,cama_mesa_banho,SP,302.62984
RJ,85.24,1,credit_card,15.25,500,4180,1,1,brinquedos,SP,353.788672
SP,26.29,1,credit_card,7.39,200,2375,1,1,utilidades_domesticas,SP,103.128303
RJ,83.1,1,boleto,17.2,1200,18144,1,1,cama_mesa_banho,SP,563.075115
SP,96.47,1,credit_card,31.48,1050,13860,1,1,informatica_acessorios,SP,16.931478
SP,221.28,1,credit_card,35.38,8975,48960,1,1,brinquedos,PR,333.229784
RJ,161.01,1,credit_card,16.11,200,3795,1,1,esporte_lazer,SP,365.747797
SP,30.79,1,credit_card,12.79,150,880,1,1,beleza_saude,SP,375.892884
SP,83.22,1,boleto,23.22,1150,9504,1,1,esporte_lazer,SP,442.705659
RJ,109.26,1,credit_card,43.56,900,2550,1,1,moveis_decoracao,SP,584.081466
RJ,104.37,1,credit_card,15.37,275,7392,1,1,beleza_saude,SP,299.544921
RJ,222.7,1,boleto,32.8,5950,32768,1,1,moveis_decoracao,MG,201.020167
SP,73.34,1,boleto,13.44,1225,18252,1,1,utilidades_domesticas,SP,148.281714
SP,499.4,1,debit_card,27.56,2434,29700,1,1,informatica_acessorios,PR,537.834263
SP,145.5,1,credit_card,25.52,2900,27000,1,1,cama_mesa_banho,SP,307.161921
SP,55.04,1,credit_card,7.39,1110,3762,1,1,beleza_saude,SP,64.832175
SP,102.03,1,credit_card,12.13,1383,20000,1,1,cama_mesa_banho,SP,310.11466
SP,355.77,1,credit_card,31.77,350,6000,1,1,esporte_lazer,RJ,221.96914
RJ,99.9,1,credit_card,0,584,2288,1,1,relogios_presentes,SP,516.285116
RJ,109.31,1,credit_card,14.41,500,2040,1,1,brinquedos,SP,336.71054
RJ,179.22,1,credit_card,19.22,350,4807,1,1,beleza_saude,MG,658.836287
SP,85.52,1,credit_card,13.52,1500,23625,1,1,cama_mesa_banho,SP,227.29649
SP,326.36,1,credit_card,16.37,8200,49000,1,1,utilidades_domesticas,SP,131.672919
RJ,200.23,1,credit_card,20.23,501,3276,1,1,relogios_presentes,SP,562.299695
SP,134.71,1,credit_card,15.71,400,2304,1,1,relogios_presentes,PR,311.626978
RJ,27.98,1,credit_card,15.1,180,2304,1,1,informatica_acessorios,SP,569.0101
RJ,63.98,1,credit_card,14.08,2750,12250,1,1,moveis_decoracao,MG,210.679944
SP,299.75,1,credit_card,19.85,3850,18240,1,1,cama_mesa_banho,SP,145.084884
SP,31.75,1,boleto,11.85,178,3366,1,1,beleza_saude,SP,422.35782
SP,218,1,credit_card,50.02,25200,29282,1,1,esporte_lazer,MG,370.532507
SP,117.96,1,credit_card,7.64,100,990,1,1,beleza_saude,SP,104.76933
RJ,921.04,1,boleto,21.05,900,6555,1,1,relogios_presentes,SP,527.640199
SP,35.36,1,credit_card,7.46,150,1360,1,1,beleza_saude,SP,27.14483
SP,164.06,1,boleto,14.07,600,11500,1,1,brinquedos,SP,190.441743
SP,311.81,1,credit_card,31.82,14000,52272,1,1,utilidades_domesticas,SP,438.029736
RJ,215.15,1,credit_card,19.25,337,2704,1,1,relogios_presentes,SP,550.246735
SP,31.75,1,credit_card,11.85,600,23625,1,1,cama_mesa_banho,SP,299.810713
SP,196.95,1,credit_card,37.05,8100,102144,1,1,moveis_decoracao,SP,25.460169
RJ,32.94,1,credit_card,7.94,350,3360,1,1,brinquedos,RJ,18.393676
SP,34.86,1,boleto,10.96,225,6300,1,1,beleza_saude,SP,104.841534
SP,51.2,1,boleto,11.3,850,8750,1,1,cama_mesa_banho,SP,41.662456
SP,92.57,1,credit_card,13.57,1000,12096,1,1,cama_mesa_banho,SP,333.712418
SP,88.37,1,credit_card,9.37,250,3840,1,1,relogios_presentes,SP,94.071836
SP,62.08,1,credit_card,12.69,638,3952,1,1,beleza_saude,SP,402.005617
SP,307,1,boleto,58,8150,32760,1,1,moveis_decoracao,PR,286.859182
SP,137.74,1,credit_card,17.76,1900,35000,1,1,beleza_saude,SP,20.643542
SP,96.17,1,credit_card,21.17,2550,31500,1,1,moveis_decoracao,SP,562.033796
SP,96.62,1,voucher,11.62,1300,17408,1,1,informatica_acessorios,SP,60.874949
SP,46.16,1,boleto,11.26,2250,3300,1,1,beleza_saude,SP,110.712081
SP,236.41,1,credit_card,16.42,350,13440,1,1,brinquedos,RJ,371.790659
SP,139.41,1,debit_card,11.91,1400,5103,1,1,cama_mesa_banho,SP,66.172792
SP,147.59,1,credit_card,27.69,800,3087,1,1,utilidades_domesticas,SP,33.414333
SP,87.44,1,credit_card,13.54,1200,8550,1,1,beleza_saude,SP,293.131875
SP,18.76,1,boleto,10.96,400,2400,1,1,moveis_decoracao,SP,24.80716
SP,220.04,1,credit_card,15.04,3300,54000,1,1,cama_mesa_banho,SP,11.985515
SP,55.96,1,credit_card,12.96,150,5832,1,1,esporte_lazer,SP,498.59589
SP,162.04,1,debit_card,12.14,1700,7616,1,1,cama_mesa_banho,SP,85.497631
SP,307.68,1,credit_card,14.18,571,12000,1,1,informatica_acessorios,PR,444.895114
SP,53.37,1,debit_card,8.47,400,600,1,1,cama_mesa_banho,SP,140.973994
SP,162.04,1,voucher,12.14,1700,7616,1,1,cama_mesa_banho,SP,140.151841
SP,73.34,1,credit_card,13.44,800,2800,1,1,beleza_saude,PR,461.031393
SP,122.37,1,credit_card,12.47,6050,36000,1,1,esporte_lazer,SP,26.740174
SP,34.86,1,credit_card,10.96,600,1428,1,1,utilidades_domesticas,SP,182.042278
SP,42.68,1,credit_card,12.69,500,2560,1,1,cama_mesa_banho,SP,297.675147
RJ,75.68,1,credit_card,19.58,950,9450,1,1,cama_mesa_banho,SP,601.605559
RJ,54.09,1,credit_card,15.1,367,5120,1,1,beleza_saude,SP,741.465717
SP,83.41,1,credit_card,13.51,1350,23625,1,1,cama_mesa_banho,SP,297.760631
SP,79.24,1,credit_card,9.34,750,24360,1,1,brinquedos,SP,25.306521
SP,65.71,1,credit_card,12.71,650,2560,1,1,cama_mesa_banho,SP,338.761186
SP,73.68,1,credit_card,13.78,600,30000,1,1,cama_mesa_banho,SP,287.147641
SP,98.69,1,boleto,8.79,500,2700,1,1,informatica_acessorios,SP,14.755557
SP,76.63,1,credit_card,11.73,900,6880,1,1,moveis_decoracao,SP,11.476494
SP,37.86,1,debit_card,10.96,114,5168,1,1,beleza_saude,SP,96.382776
SP,163.13,1,boleto,15.13,1200,5472,1,1,esporte_lazer,SP,315.802193
SP,179.22,1,credit_card,19.22,350,4807,1,1,beleza_saude,MG,473.057494
SP,163.52,1,credit_card,18.52,2026,17940,1,1,esporte_lazer,SP,217.015173
SP,163.5,1,credit_card,73.5,22300,6272,1,1,esporte_lazer,MG,387.133389
SP,343.5,1,boleto,13.51,838,8232,1,1,beleza_saude,SP,20.232906
RJ,176.78,1,credit_card,16.88,567,9632,1,1,beleza_saude,SP,734.445065
SP,111.92,1,credit_card,22.03,900,12268,1,2,brinquedos,SP,16.957099
RJ,154.38,1,credit_card,34.38,16550,57200,1,1,utilidades_domesticas,SP,500.60861
RJ,112.92,1,boleto,17.92,1600,27000,1,1,esporte_lazer,SP,249.469462
SP,828.08,1,credit_card,28.18,2400,17600,1,1,brinquedos,RJ,798.709714
SP,87.55,1,credit_card,12.65,180,2210,1,1,informatica_acessorios,PR,526.42042
SP,106.16,1,credit_card,16.26,1383,20000,1,1,cama_mesa_banho,SP,290.781024
RJ,98.82,1,credit_card,16.82,850,8192,1,1,brinquedos,SP,358.505165
SP,119.24,1,credit_card,15.24,550,704,1,1,relogios_presentes,SP,34.504987
SP,36.75,1,credit_card,11.85,400,4800,1,1,cama_mesa_banho,SP,310.882512
SP,29.24,1,credit_card,9.34,800,18000,1,1,utilidades_domesticas,SP,12.044035
SP,186.76,1,credit_card,26.97,4700,23986,2,1,beleza_saude,SP,25.238738
SP,195.17,1,credit_card,25.27,8600,55125,1,1,utilidades_domesticas,SP,119.549802
RJ,153.2,1,credit_card,18.2,1850,12000,1,1,cama_mesa_banho,SP,591.963584
SP,651.84,1,credit_card,15.84,638,7436,1,1,beleza_saude,SP,74.322792
SP,132.49,1,credit_card,9.02,500,4608,1,1,beleza_saude,SP,17.14844
SP,13.39,1,credit_card,7.39,50,4500,1,1,beleza_saude,SP,41.137931
SP,108.51,1,credit_card,9.51,450,720,1,1,informatica_acessorios,SP,2.296586
SP,155.29,1,credit_card,15.29,1125,11600,1,1,beleza_saude,SP,208.561179
RJ,54.1,1,credit_card,16.11,500,3000,1,1,cama_mesa_banho,SP,593.724548
RJ,76.65,1,credit_card,17.66,200,3960,1,1,beleza_saude,SP,370.31468
SP,140.08,1,credit_card,20.18,4350,8000,1,1,esporte_lazer,SP,250.045412
SP,22.77,1,credit_card,7.78,200,4000,1,1,esporte_lazer,SP,94.257444
RJ,164.63,1,credit_card,14.64,2100,13500,1,1,cama_mesa_banho,RJ,95.161284
SP,246.42,1,credit_card,26.42,3876,43296,1,1,cama_mesa_banho,SP,285.031025
SP,112.1,1,credit_card,12.2,1050,5610,1,1,beleza_saude,SP,279.364151
SP,235.13,1,credit_card,15.14,2900,12600,1,1,cama_mesa_banho,SP,27.976388
SP,162.65,1,credit_card,12.75,1800,7616,1,1,cama_mesa_banho,SP,157.309345
RJ,215.56,1,credit_card,35.76,2950,6160,1,1,cama_mesa_banho,SP,470.17325
SP,222.38,1,credit_card,24.38,922,5040,1,1,esporte_lazer,SP,303.541278
SP,51.07,1,credit_card,13.08,600,4048,1,1,esporte_lazer,SP,13.411726
RJ,95.34,1,boleto,15.44,150,4096,1,1,informatica_acessorios,SP,378.271177
RJ,124.29,1,credit_card,34.39,4450,26400,1,1,moveis_decoracao,SP,357.450293
SP,91.05,1,credit_card,12.05,200,4096,1,1,esporte_lazer,SP,145.395006
RJ,355.38,1,credit_card,117.38,13100,16000,1,1,informatica_acessorios,MG,342.536584
SP,43.22,1,boleto,8.72,518,12936,1,1,esporte_lazer,SP,106.087064
SP,123.38,1,credit_card,16.38,3100,17280,1,1,esporte_lazer,SP,134.544271
RJ,115.79,1,credit_card,15.8,450,1140,1,1,informatica_acessorios,MG,314.7446
SP,25.46,1,credit_card,10.96,500,25935,1,1,utilidades_domesticas,SP,44.836238
RJ,41.26,1,credit_card,16.36,200,2378,1,1,informatica_acessorios,MG,324.269543
SP,247.68,1,credit_card,19.68,11350,60000,1,1,cama_mesa_banho,SP,300.376749
RJ,157.16,1,credit_card,17.17,750,23460,1,1,brinquedos,SP,346.383641
SP,54.33,1,credit_card,9.34,550,6400,1,1,esporte_lazer,SP,17.407462
SP,59.68,1,credit_card,12.69,700,48000,1,1,moveis_decoracao,SP,296.193923
SP,64.58,1,credit_card,14.78,300,2720,1,1,beleza_saude,SP,12.932005
SP,147.33,1,credit_card,12.43,1550,11340,1,1,cama_mesa_banho,SP,142.319385
SP,41.72,1,credit_card,8.72,400,8500,1,1,esporte_lazer,SP,63.416206
SP,129.49,1,credit_card,9.59,975,5700,1,1,esporte_lazer,SP,83.924116
RJ,169.3,1,credit_card,14.3,150,1056,1,1,beleza_saude,RJ,157.491732
SP,81.11,1,credit_card,16.21,1300,6156,1,1,beleza_saude,PR,481.023204
SP,68.3,1,boleto,13.4,1700,20000,1,1,cama_mesa_banho,SP,31.189926
SP,154.9,1,credit_card,35,18600,102144,1,1,moveis_decoracao,SP,14.114246
RJ,137.83,1,credit_card,18.93,500,6468,1,1,relogios_presentes,MG,335.610149
SP,257.34,1,credit_card,9.36,2500,210000,1,1,cama_mesa_banho,SP,50.94664
RJ,376.39,1,credit_card,17.39,438,2520,1,1,relogios_presentes,SP,376.198167
RJ,91.79,1,credit_card,15.3,525,4140,1,1,beleza_saude,SP,350.354961
SP,31.77,1,credit_card,7.78,100,4500,1,1,beleza_saude,SP,80.905621
RJ,92.64,1,credit_card,15.64,250,640,1,1,relogios_presentes,SP,343.529864
SP,258.9,1,credit_card,9.9,450,640,1,1,relogios_presentes,SP,79.977641
SP,69.41,1,credit_card,13.51,300,3024,1,1,esporte_lazer,PR,549.002662
SP,128.85,1,credit_card,18.85,3500,18900,1,1,beleza_saude,SP,289.188224
RJ,46.85,1,credit_card,16.95,250,1200,1,1,beleza_saude,SP,440.272691
SP,33.75,1,credit_card,11.85,300,4800,1,1,cama_mesa_banho,SP,122.076759
SP,55.13,1,credit_card,15.23,285,2210,1,1,informatica_acessorios,MG,482.513576
RJ,319.88,1,credit_card,19.98,375,15870,1,1,esporte_lazer,SP,345.39001
SP,31.75,1,credit_card,11.85,178,3366,1,1,beleza_saude,SP,200.494123
SP,61.27,1,credit_card,11.37,950,880,1,1,utilidades_domesticas,SP,25.88782
SP,102.03,1,credit_card,12.13,1850,23625,1,1,cama_mesa_banho,SP,131.06969
RJ,235.7,1,credit_card,35.9,2100,28880,1,1,cama_mesa_banho,SP,441.980153
SP,103.14,1,credit_card,16.24,1383,20000,1,1,cama_mesa_banho,SP,311.532942
SP,67.92,1,credit_card,16.12,650,6750,1,1,relogios_presentes,SP,472.289814
SP,137.85,1,credit_card,12.83,1600,2880,1,1,beleza_saude,SP,87.43192
SP,95.58,1,credit_card,13.59,900,7500,1,1,cama_mesa_banho,SP,172.521098
SP,63.73,1,credit_card,11.73,2000,47040,1,1,utilidades_domesticas,SP,96.954806
SP,55.52,1,credit_card,16.54,400,13718,1,1,esporte_lazer,SP,147.625615
SP,455.38,1,boleto,38.38,1000,13699,2,1,beleza_saude,PR,348.679606
SP,26.68,1,credit_card,7.78,145,1872,1,1,informatica_acessorios,SP,83.804458
SP,86.02,1,boleto,16.12,2500,2420,1,1,esporte_lazer,SP,289.350097
SP,27.38,1,credit_card,7.39,200,1235,1,1,informatica_acessorios,SP,20.618685
SP,57.2,1,credit_card,17.6,1600,21114,1,1,utilidades_domesticas,MG,303.541773
SP,154.76,1,boleto,9.76,217,1140,1,1,informatica_acessorios,SP,0.959793
SP,14.72,1,credit_card,8.72,300,3840,1,1,utilidades_domesticas,SP,16.270672
SP,78.14,1,credit_card,11.15,1217,10868,1,1,beleza_saude,SP,8.666604
RJ,306.11,1,credit_card,37.11,2550,22575,1,1,utilidades_domesticas,SP,247.735606
SP,217.1,1,credit_card,18.1,3500,15750,1,1,beleza_saude,SP,399.362161
SP,38.96,1,credit_card,10.96,200,3640,1,1,esporte_lazer,SP,401.379612
SP,173.57,1,credit_card,13.67,8200,48552,1,1,cama_mesa_banho,SP,61.035154
SP,83.62,1,credit_card,8.72,400,3750,1,1,moveis_decoracao,SP,71.454826
SP,164.66,1,credit_card,24.86,5200,30000,1,1,moveis_decoracao,SP,11.96325
SP,117.68,1,boleto,14.78,600,12800,1,1,esporte_lazer,SP,3.219189
SP,163.97,1,credit_card,14.07,1627,27166,1,1,beleza_saude,SP,458.692954
SP,27.29,1,credit_card,7.39,150,1360,1,1,beleza_saude,SP,15.816868
SP,312.59,1,credit_card,13.59,9300,23625,1,1,cama_mesa_banho,SP,303.779803
SP,118.9,1,credit_card,19,3500,23220,1,1,cama_mesa_banho,SP,303.995397
SP,46.01,1,boleto,16.11,900,2400,1,1,moveis_decoracao,PR,475.455057
SP,55.04,1,credit_card,7.39,1110,3762,1,1,beleza_saude,SP,74.060395
SP,68.72,1,credit_card,8.72,500,4800,1,1,esporte_lazer,SP,7.627567
RJ,28.45,1,credit_card,7.55,100,2240,1,1,utilidades_domesticas,RJ,4.033241
RJ,163.69,1,credit_card,14.04,100,2304,1,1,beleza_saude,RJ,108.033278
SP,318.3,1,credit_card,19.3,7300,43200,1,1,brinquedos,SP,90.824777
SP,49.79,1,boleto,12.79,700,12500,1,1,cama_mesa_banho,SP,127.139976
SP,114.91,1,debit_card,15.01,1050,14440,1,1,cama_mesa_banho,SP,82.032328
RJ,261.82,1,credit_card,19.82,1300,2496,1,1,esporte_lazer,PR,685.200474
SP,37.26,1,credit_card,8.36,300,6000,1,1,utilidades_domesticas,SP,26.783177
SP,107.28,1,credit_card,14.38,2150,14350,1,1,esporte_lazer,MG,129.286213
SP,124.85,1,credit_card,14.86,950,2000,1,1,moveis_decoracao,SP,124.214188
SP,217.06,1,boleto,17.16,975,9216,1,1,informatica_acessorios,PR,536.55784
SP,89.41,1,credit_card,8.92,417,3850,1,1,beleza_saude,SP,12.869843
SP,68.31,1,voucher,32.81,1650,4400,1,1,moveis_decoracao,PR,292.68565
SP,211.41,1,credit_card,12.41,1200,18216,1,1,brinquedos,SP,21.976972
SP,98.81,1,credit_card,8.82,500,15625,1,1,esporte_lazer,SP,76.093548
RJ,38.09,1,credit_card,14.1,100,4500,1,1,beleza_saude,SP,343.437584
SP,210.29,1,credit_card,14.39,875,6860,1,1,informatica_acessorios,PR,543.851043
SP,124.57,1,credit_card,54.57,17250,90750,1,1,moveis_decoracao,SP,64.251227
SP,294.66,1,credit_card,9.76,274,3240,1,1,esporte_lazer,SP,112.277893
SP,333.6,1,boleto,55.8,7600,19550,1,1,moveis_decoracao,PR,387.640621
SP,1291.39,1,credit_card,51.39,11450,54080,1,1,beleza_saude,SP,11.344319
SP,48.87,1,credit_card,8.88,6050,36000,1,1,utilidades_domesticas,SP,22.990739
SP,82.83,1,credit_card,12.83,850,20250,1,1,cama_mesa_banho,SP,343.014458
SP,47.88,1,boleto,8.88,825,9000,1,1,esporte_lazer,SP,31.286834
RJ,309.89,1,debit_card,14.9,6794,45600,1,1,brinquedos,RJ,25.689609
SP,356.64,1,credit_card,24.07,700,4400,2,1,relogios_presentes,SP,28.993384
SP,52.85,1,boleto,13.85,550,1710,1,1,cama_mesa_banho,SP,296.019292
SP,91.66,1,credit_card,11.76,1800,2640,1,1,beleza_saude,SP,110.903917
SP,176.16,1,credit_card,26.16,5200,30000,1,1,moveis_decoracao,SP,18.481493
SP,67.77,1,credit_card,7.78,200,3960,1,1,beleza_saude,SP,111.977204
SP,219.19,1,credit_card,19.2,1150,17500,1,1,utilidades_domesticas,RJ,306.234758
RJ,255.29,1,voucher,155.39,13700,137500,1,1,moveis_decoracao,SP,431.644083
SP,52.85,1,credit_card,13.85,550,1710,1,1,cama_mesa_banho,SP,354.64929
SP,98.98,1,credit_card,8.98,3500,32000,1,1,moveis_decoracao,SP,105.220753
SP,275.11,1,credit_card,9.12,350,2000,1,1,informatica_acessorios,SP,19.747323
SP,139.8,1,credit_card,0,5200,30000,1,1,moveis_decoracao,SP,69.274545
SP,274.55,1,credit_card,24.55,1200,16864,1,1,brinquedos,MG,504.270457
SP,119.34,1,boleto,14.34,4800,29000,1,1,esporte_lazer,SP,37.494902
SP,87.43,1,credit_card,12.43,2550,31500,1,1,moveis_decoracao,SP,13.755072
SP,37.36,1,credit_card,7.47,650,2288,1,1,beleza_saude,SP,11.079498
RJ,106.69,1,credit_card,16.88,900,20736,1,1,utilidades_domesticas,SP,360.640467
SP,26.84,1,credit_card,11.85,200,3564,1,1,informatica_acessorios,SP,123.078125
SP,81.33,1,credit_card,14.78,1050,15750,1,1,cama_mesa_banho,SP,312.984075
SP,321.51,1,credit_card,22.51,5950,25200,1,1,cama_mesa_banho,SP,309.025503
SP,27.3,1,credit_card,7.4,200,6859,1,1,esporte_lazer,SP,57.23586
SP,52.58,1,credit_card,7.58,200,12000,1,1,utilidades_domesticas,SP,15.177814
SP,26.58,1,credit_card,11.73,7000,23520,1,1,moveis_decoracao,SP,398.884844
RJ,101.63,1,credit_card,21.64,2500,20000,1,1,informatica_acessorios,SP,368.119747
SP,162.04,1,credit_card,12.14,1200,5040,1,1,beleza_saude,SP,167.228152
SP,21.95,1,credit_card,10.96,100,48000,1,1,moveis_decoracao,SP,348.824648
SP,38.64,1,boleto,11.74,950,2852,1,1,informatica_acessorios,SP,146.040207
SP,150.37,1,credit_card,20.47,4350,8000,1,1,esporte_lazer,SP,166.799515
SP,145.56,1,boleto,15.66,350,3200,1,1,beleza_saude,RJ,365.271295
